t=2026-03-06T04:12:31-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-06T04:12:31-0300 lvl=info msg="using configuration at default config path" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-06T04:12:31-0300 lvl=info msg="open config file" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=8595c12c163d l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=0f7e1810939b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=c09259e424c5 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=a830298ed974 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=6e074d6d830f l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=61c3bee01c05 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=31204043f294 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=f61d80e07314 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64857
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=c6d843ce72af l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=de45d0ebb889 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=24b408e0a777 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=5fb3025dad7b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=965846ea399a l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=ac6a0436f379 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=1315126a4ec3 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=d2b57d56bb20 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=41019869563d l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=12de442cb659 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=bce3cbbbb008 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=a2f6c8b847f3 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=ad24fdfedcfd l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=4e583a120147 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=1fe69f2cce0c l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64859
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=ea0561a7e0f2 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=d9362b0a4247 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=d6eee3a2e13a l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=aed2079c9ba1 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=2cf680badd37 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
t=2026-03-06T04:22:56-0300 lvl=info msg="join connections" obj=join id=8045a1bff22b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
